judul,label
"
Dibiayai LPEI, Anak Usaha INKA Ekspor Gerbong ke Selandia Baru
",Positif
"
BPKP Pantau Ketat Rekrutmen 2,3 Juta ASN
",Negatif
"
Gelombang Tinggi Bikin Dermaga Teluk Labuan Pandeglang Rusak
",Negatif
"
OJK Pastikan Aturan Penagihan Tak Lindungi Nasabah Nakal
",Negatif
"
Zulhas Gaungkan Bangga Buatan Lokal: Produk Berkualitas, Harga Ekonomis!
",Positif
"
Semenanjung Iberia Alami Titik Terkering dalam 1.200 Tahun
",Negatif
"
Biar Investasi Migas Nggak Seret, Ini yang Mesti Dilakukan Penerus Jokowi
",Positif
"
Aksi Zulhas Jadi Host Live TikTok Dadakan Bareng Putri & Raffi-Nagita
",Positif
"
Ini Proyek Tanggul Laut di Semarang yang Rampung Juni
",Negatif
"
Pengusaha Nggak Khawatir Pilpres Satu atau Dua Putaran
",Positif
"
Target Laba Rendah, Saham Adidas Terjun Bebas
",Negatif
"
Mahfud Ungkap Masih Ada Obligor BLBI Ogah hingga Nego Bayar Utang
",Negatif
"
Jadi Eksportir Mobil Terbanyak di Dunia, BYD Buka Dealer Pertama di Jerman
",Positif
"
Pegadaian Raih Penghargaan Indonesia Living Legend Companies Awards 2024
",Positif
"
Cerita Utang BLBI Lebih dari Rp 110 T, Mahfud Minta Jokowi Terus Kejar
",Netral
"
Bos OJK Curhat Angkat Telepon Ternyata Debt Collector, Begini Ceritanya
",Negatif
"
Pengusaha Targetkan Okupansi Mal Naik 30% Saat Pencoblosan
",Positif
"
Duit Negara Rp 67 Triliun Diselamatkan dari Pemborosan, Ini Datanya
",Negatif
"
Intip Usaha Dodol Keranjang Sejak 1940, Laku 5.000 Potong/Hari
",Positif
"
RI Mau Geber Investasi Migas, Ini yang Perlu Diperhatikan
",Negatif
"
Utang Kereta Cepat Whoosh dari China Cair Pekan Depan
",Negatif
"
Resmi Mundur, Mahfud Ungkap Satgas BLBI Jaring Rp 35,8 T dari Obligor
",Positif
"
Penunjang Gaya Hidup Mewah Pengusaha Muda dan Milenial
",Netral
"
OJK Pantau Ketat Pinjol Danacita, Ini Alasannya
",Positif
"
Uni Emirat Arab Kepincut Proyek Kereta Api di Bali
",Negatif
"
Jurus Bappenas dan Pemerintah Jerman Genjot Sektor Teknologi Hijau Indonesia
",Positif
"
Mendag Harap Kehadiran Pasar Cheng Hoo Genjot Potensi Wisata di Jatim
",Positif
"
Pelaku Usaha Buka-bukaan Kondisi Bisnis Migas, Begini Katanya
",Netral
"
Rayu UAE, Erick Thohir Minta Pertamina Masuk Pengelolaan Blok Migas Andaman
",Negatif
"
Dorong Ekspansi Produk ke LN, Wamendag: 46 Perwakilan RI Siap Fasilitasi
",Positif
"
Ahmad Siddik Jadi Direktur Pertamina, Bank Mandiri Gelar RUPS Maret
",Positif
"
Melihat Progres Tol Baleno yang Ditarget Rampung Tahun Ini
",Positif
"
Pengusaha Respons Isu Sri Mulyani-Basuki Mundur: Kami Tak Lihat Individu
",Netral
"
Kepala BKPerdag: Sudah Bukan Masanya bagi RI Ekspor Barang Mentah
",Negatif
"
Jokowi Anggarkan Bansos Lebih Besar di Pemilu Ketimbang Puncak Covid-19
",Negatif
"
Wamendag Harap Factory Outlets Cikarang Trade Center Perluas Akses UMKM
",Positif
"
Erick Thohir Tunjuk Eks Panglima TNI Yudo Margono Jadi Komut Hutama Karya
",Positif
"
Erick Thohir Ungkap Uni Emirat Arab Minat Investasi di Food Estate
",Positif
"
Pinjol-Bank Langgar Aturan Penagihan Bakal Didenda Rp 15 M!
",Negatif
"
Potret Aksi Protes Petani di Eropa, Blokir Ratusan Jalan dengan Traktor
",Negatif
"
Jangan Lupa Abis Nyoblos Langsung Pergi ke Mal, Ada Pesta Diskon
",Positif
"
Bos Garuda Buka-bukaan Keuntungan Kasasi Greylag Ditolak MA
",Negatif
"
Mau Dana Hingga Rp 10 Juta dari BPJS Ketenagakerjaan? Pakai JMO Aja
",Positif
"
Simpanan Warga RI di BSI Rp 293,7 Triliun, 40% dari Dana Murah
",Positif
"
Cek! Kenaikan Gaji 12% Pensiunan PNS-TNI/Polri Cair Bulan Ini
",Positif
"
Sempat Berhenti, Pembangunan Kantor BSI yang Bikin Gedung ESDM Retak Lanjut Lagi
",Negatif
"
Dirut BSI Ungkap Rahasia di Balik Laba 2023 Capai Rp 5,7 T
",Positif
"
Erick Thohir & Pahala Rapat Bareng UEA, Bahas Blok Migas-Kereta Bali
",Positif
"
Jokowi Kasih Iriana Hadiah Tas Produk Nasabah PNM di Wonogiri
",Positif
"
Menuju Imlek 2024, Tingkat Kunjungan Mal Diprediksi Hanya Naik 10%
",Negatif
"
Pelaku Usaha Pede Bisnis Migas Tetap Moncer di Tahun Politik
",Negatif
"
Perbaikan Eskalator Stasiun Bekasi Ditarget Kelar Bulan Ini
",Positif
"
Pegawai Hotel Bisnis Sampingan Pengharum Ruangan, Omzetnya Rp 100 Juta/Bulan!
",Positif
"
Ini Biang Kerok Eskalator Stasiun Bekasi 'Wafat' 100 Hari
",Negatif
"
Selisih Kenaikan Gaji ASN-TNI/Polri Dirapel 3 Bulan, Baru Cair Maret
",Positif
"
Gelar Program bjbpreneur, bank bjb Dorong UMKM Berkembang
",Positif
"
Isu Sri Mulyani Mundur dari Menteri, Berdampak ke Ekonomi?
",Negatif
"
Pengusaha Sebut Inpres Air Minum Diteken Mendadak, Beberkan Akibatnya
",Negatif
"
Kinerja BSI 2023 Tumbuh Baik & Solid, Laba Bersih Capai Rp 5,7 Triliun
",Positif
"
Bangun Proyek Sanitasi, RI Dapat Pinjaman Rp 6,61 T dari ADB
",Positif
"
100 Hari Eskalator Stasiun Bekasi 'Wafat,' Kemenhub Minta Maaf
",Negatif
"
Pasok Hari Valentine, Bisnis Mawar Kolombia Tembus Pasar Dunia
",Positif
"
Sri Mulyani Sentil Euforia Momen Gunting Pita Peresmian Proyek
",Positif
"
Simak! Truk Dilarang Melintas Saat Libur Isra Miraj-Imlek, Ini Rinciannya
",Negatif
"
Shopee Beri Penghargaan ke UMKM Bogor yang Tembus Ekspor
",Positif
"
15 Cara Meningkatkan Penjualan Bisnismu: Modal Sedikit, Omzet Melejit!
",Positif
"
Paslon 02 Diminta Ganti Program Makan Siang Gratis Rp 460 T Jadi Air Bersih
",Negatif
"
Tokopedia Punya Bos Baru Usai Gabung TikTok Shop, Ini Sosoknya
",Positif
"
11,6 Juta Turis Asing ke RI Selama 2023, Belum Lampaui Era Sebelum COVID-19
",Positif
"
BSI Raih Laba Bersih Rp 5,7 Triliun
",Positif
"
Jokowi Ajak Siswa SMA/SMK Penerima KIP Lanjut Kuliah: Ada Bantuan Rp 8 Juta
",Positif
"
Dua Perusahaan Dapat Izin Jadi Penjamin-Pengelola Aset, Apa Kata Industri Kripto?
",Positif
"
Mandiri Raup Laba Rp 55,1 T, Dirut: Ruang Kerja Fiskal Masih Besar
",Positif
"
BSI Cetak Laba Bersih Rp 5,7 Triliun, Melonjak Hampir 34%
",Positif
"
Bantuan Pangan Sudah Disebar tapi Harga Beras Masih Tinggi, Ini Kata BPS
",Negatif
"
Harga Beras di Wonogiri Naik, Jokowi Klaim Stok Beras Aman
",Positif
"
Ternyata Ini Alasan Sri Mulyani Pakai Jargon Uang Kita Kenalkan APBN
",Netral
"
Penjualan Terus Merosot, CEO H&M Mundur
",Negatif
"
Sri Mulyani & Basuki Disebut Menghadap Megawati soal Mundur Jadi Menteri
",Negatif
"
Pesan Jokowi ke Ibu-ibu Nasabah PNM, Pinjaman buat Modal Usaha Bukan Beli TV
",Netral
"
Arab Saudi Punya Kereta Mewah Tembus Gurun, Operasi 2025
",Positif
"
Masukan APPBI pada Pemerintah Soal Regulasi Pembatasan Produk Impor
",Netral
"
Kuba Tunda Kenaikan Harga BBM hingga 500 Persen
",Negatif
"
Tarif Tol Surabaya-Gresik Naik Mulai 4 Februari, Ini Rinciannya
",Netral
"
Dukungan Nyata untuk UMKM Naik Kelas
",Positif
"
BPS Ungkap Inflasi Januari 0,04%, Harga Beras Masih Tinggi
",Negatif
"
Perpamsi Tantang Semua Capres Tingkatkan Anggaran Air Minum
",Positif
"
Hulu-Disney Mulai Larang Bagi-bagi Password Akun
",Negatif
"
Salip Louis Vuitton, Produsen Obat Ini Jadi Perusahaan Paling Berharga di Eropa
",Positif
"
Penghargaan Best CEO 2023 Sukses Digelar
",Positif
"
Bos Badan Pangan Buka-bukaan Kapan RI Setop Impor Beras
",Positif
"
Erick Thohir Ungkap Rekind Lolos dari Pailit, Bisa Lanjut Restrukturisasi
",Positif
"
Kembangkan Pembangkit Panas Bumi, BUMN Tanzania 'Berguru' ke RI
",Negatif
"
Melihat Penjemuran Kopi Gayo di Tengah Turunnya Harga
",Netral
"
MK Tolak Uji Materiil Pemisahan Ditjen Pajak dari Kemenkeu!
",Negatif
"
Siapkan Duit Segini kalau Mau Buka Indomaret dan Alfamart, Termasuk Syaratnya
",Positif
"
Saham Emiten Periklanan Ini Digembok BEI Lagi Usai Melejit 117%
",Positif
"
Pemerintah Impor Beras, Bos Bapanas Jamin Harga Gabah Petani Tetap Tinggi
",Negatif
"
Daftar Lengkap Harga BBM Terbaru di Seluruh SPBU, Ada yang Naik!
",Positif
"
Rupiah Loyo, Dolar AS Makin Kokoh di Rp 15.700-an
",Negatif
"
Mengenal Qlola by BRI dan Ragam Fitur Unggulan untuk Solusi Bisnis
",Positif
"
Daftar Susunan Direksi Pertamina Terbaru Usai RUPS Awal 2024
",Positif
"
Harga BBM VIVO Ikutan Naik, Revvo 90 Jadi Rp 12.600/Liter
",Positif
"
IHSG Awal Februari Dibuka Menguat ke 7.218, tapi Tak Lama Berbalik Loyo
",Negatif
"
Prabowo Balas Orang yang Suka Kritik Food Estate: Tidak Paham!
",Negatif
"
Sepak Terjang Mahfud, Bongkar Transaksi Janggal Rp 349 T-Kejar Utang BLBI
",Negatif
"
Ekonomi RI Baru Bisa Tembus 6% 4 Tahun Lagi
",Positif
"
Harga BBM di SPBU BP Juga Naik! Ini Daftarnya
",Negatif
"
Bahlil Senggol Lagi Tom Lembong, Singgung Tamatan Jayapura Vs Harvard
",Positif
"
Harga BBM Shell Naik Mulai 1 Februari, Ini Daftarnya
",Negatif
"
Anak Buah Aguan Ungkap Hotel Nusantara di IKN Rampung Sebelum 17 Agustus
",Negatif
"
Gaji Baru PNS Cair Hari Ini! Segini Nilainya
",Positif
"
Cek! Rincian Harga BBM di SPBU Pertamina Mulai 1 Februari
",Positif
"
Hasil Kerja Mahfud Bongkar Transaksi Janggal Rp 349 T-Kejar Utang BLBI
",Negatif
"
Penghargaan Bergengsi kembali Diborong BTN
",Negatif
"
Prabowo ke Pengusaha di PIK: Saudara Tak Suka Pajak Terlalu Tinggi, Betul?
",Negatif
"
Segera Cek! Daftar Tarif Tol Indralaya-Prabumulih
",Netral
"
Potret Emas Antam Edisi Imlek 2024
",Positif
"
Bahlil Respons Sri Mulyani-Basuki cs Siap Mundur: Isunya Mengada-ada
",Negatif
"
Industri Rumahan di Yogya Produksi 200 Kg Kue Keranjang Per Hari
",Positif
"
Sempat 'Wafat', Eskalator di Stasiun Bekasi Akhirnya Hidup Lagi
",Positif
"
Momen Prabowo-Erick Thohir Kumpul Bareng Pengusaha Kakap di PIK
",Positif
"
Ahok Mundur dari Pertamina, Surat Pengunduran Diri Sudah di Kementerian BUMN
",Negatif
"
86,7% Warga RI Beragama Islam, Bamsoet Bicara Peluang Obligasi Syariah
",Netral
"
KCI Pastikan Kereta yang Diimpor dari China Sesuai Spesifikasi
",Positif
"
Potensi Perikanan di Perairan Pulau Obi Maluku Utara
",Positif
"
Kumpul Bareng Pengusaha di PIK, Prabowo Didoakan Jadi Presiden
",Positif
"
Ahok Buka Suara Mundur dari Pertamina: Keinginan Pribadi, Murni Dukung Ganjar
",Positif
"
Ahok Mundur dari Pertamina, Ini Isi Surat Pengunduran Dirinya
",Negatif
"
Airlangga Klaim Ekonomi RI Solid: Inflasi Terkendali & PMI Ekspansif
",Positif
"
Mundur dari Komisaris Utama Pertamina, Segini Gaji yang Dilepas Ahok
",Negatif
"
MK Tolak Uji Materiil Pemisahan Ditjen Pajak dari Kemenkeu, Ini Respons Anies
",Netral
"
Prabowo hingga Erick Thohir Kumpul Bareng Pengusaha Kakap di PIK
",Positif
"
Mundur dari Komut Pertamina, Ahok Serahkan Surat Resign Hari Ini
",Negatif
"
Diprotes Bunga Tinggi, Danacita Klaim Masih di Bawah Aturan OJK
",Netral
"
Ahok Mundur dari Komisaris Utama, Pertamina Buka Suara
",Negatif
"
Profil Ahok yang Mundur dari Komisaris Utama Pertamina
",Negatif
"
Ini Kontribusi PT GNI bagi Masyarakat Desa Bunta
",Positif
"
Ahok Mundur dari Komisaris Utama Pertamina!
",Negatif
"
PLN IP Tambah Pasokan 10 MW ke Sistem Kelistrikan Maluku
",Netral
"
Revitalisasi Terminal Leuwipanjang Usung Konsep Mixed Use, Apa Itu?
",Positif
"
Pengembangan Layanan Pengiriman Barang untuk Dukung UMKM
",Positif
"
Sindir Pemerintah, Anies Sedih Lihat Pantura Mati Dilahap Tol Trans Jawa
",Negatif
"
Anies Kritik Keras Lagi Pembangunan IKN: Diputuskan dalam Tempo Singkat!
",Negatif
"
Mengintip Proses Pembuatan Dupa yang Pesanannya Melesat Jelang Imlek
",Netral
"
Anies Bicara Ketimpangan di Daerah: Kerja Sendiri, Fiskalnya Tak Akan Cukup
",Negatif
"
Tak Mau Disebut Pinjol, Danacita Jamin Tak Ada Biaya Pinalti
",Negatif
"
Terkuak! Ini Isi Pembicaraan Jokowi dan Sri Mulyani di Istana
",Negatif
"
Nggak Sangka Buruh Pabrik Ini Kini Punya Harta Rp 17 Triliun
",Negatif
"
Aksi Mogok Kerja Petugas Bandara di Jerman Bikin Kacau Penerbangan
",Negatif
"
Cek Fasilitas Terminal Leuwipanjang, Menhub: Senang Digunakan dengan Baik
",Positif
